"PID
(hex)",Data bytes returned,Description,Min value,Max value,Units,Formula[a]
24,4,Oxygen Sensor 1   AB: Fuel–Air Equivalence Ratio   CD: Voltage,0 and 0,< 2 and < 8,Ratio and V,{\displaystyle {\frac {2}{65536}}(256A+B)}{\displaystyle {\frac {8}{65536}}(256C+D)}
25,4,Oxygen Sensor 2   AB: Fuel–Air Equivalence Ratio   CD: Voltage,0 and 0,< 2 and < 8,Ratio and V,
26,4,Oxygen Sensor 3   AB: Fuel–Air Equivalence Ratio   CD: Voltage,0 and 0,< 2 and < 8,Ratio and V,
27,4,Oxygen Sensor 4   AB: Fuel–Air Equivalence Ratio   CD: Voltage,0 and 0,< 2 and < 8,Ratio and V,
28,4,Oxygen Sensor 5   AB: Fuel–Air Equivalence Ratio   CD: Voltage,0 and 0,< 2 and < 8,Ratio and V,
29,4,Oxygen Sensor 6   AB: Fuel–Air Equivalence Ratio   CD: Voltage,0 and 0,< 2 and < 8,Ratio and V,
2A,4,Oxygen Sensor 7   AB: Fuel–Air Equivalence Ratio   CD: Voltage,0 and 0,< 2 and < 8,Ratio and V,
2B,4,Oxygen Sensor 8   AB: Fuel–Air Equivalence Ratio   CD: Voltage,0 and 0,< 2 and < 8,Ratio and V,
2C,1,Commanded EGR,0,100,%,{\displaystyle {\tfrac {100}{255}}A}
2D,1,EGR Error,-100,99.2,%,{\displaystyle {\tfrac {100}{128}}A-100}
2E,1,Commanded evaporative purge,0,100,%,{\displaystyle {\tfrac {100}{255}}A}
2F,1,Fuel Tank Level Input,0,100,%,{\displaystyle {\tfrac {100}{255}}A}
30,1,Warm-ups since codes cleared,0,255,count,{\displaystyle A}
31,2,Distance traveled since codes cleared,0,65535,km,{\displaystyle 256A+B}
32,2,Evap. System Vapor Pressure,-8192,8191.75,Pa,{\displaystyle {\frac {256A+B}{4}}}   (AB is two's complement signed)[3]
33,1,Absolute Barometric Pressure,0,255,kPa,{\displaystyle A}
34,4,Oxygen Sensor 1  AB: Fuel–Air Equivalence Ratio  CD: Current,0 and -128,< 2 and <128,Ratio and mA,{\displaystyle {\frac {2}{65536}}(256A+B)}{\displaystyle {\frac {256C+D}{256}}-128}or {\displaystyle C+{\frac {D}{256}}-128}
35,4,Oxygen Sensor 2  AB: Fuel–Air Equivalence Ratio  CD: Current,0 and -128,< 2 and <128,Ratio and mA,
36,4,Oxygen Sensor 3  AB: Fuel–Air Equivalence Ratio  CD: Current,0 and -128,< 2 and <128,Ratio and mA,
37,4,Oxygen Sensor 4  AB: Fuel–Air Equivalence Ratio  CD: Current,0 and -128,< 2 and <128,Ratio and mA,
38,4,Oxygen Sensor 5  AB: Fuel–Air Equivalence Ratio  CD: Current,0 and -128,< 2 and <128,Ratio and mA,
39,4,Oxygen Sensor 6  AB: Fuel–Air Equivalence Ratio  CD: Current,0 and -128,< 2 and <128,Ratio and mA,
3A,4,Oxygen Sensor 7  AB: Fuel–Air Equivalence Ratio  CD: Current,0 and -128,< 2 and <128,Ratio and mA,
3B,4,Oxygen Sensor 8  AB: Fuel–Air Equivalence Ratio  CD: Current,0 and -128,< 2 and <128,Ratio and mA,
3C,2,"Catalyst Temperature: Bank 1, Sensor 1",-40,6513.5,°C,{\displaystyle {\frac {256A+B}{10}}-40}
3D,2,"Catalyst Temperature: Bank 2, Sensor 1",,,,
3E,2,"Catalyst Temperature: Bank 1, Sensor 2",,,,
3F,2,"Catalyst Temperature: Bank 2, Sensor 2",,,,
40,4,PIDs supported [41 - 60],,,,Bit encoded [A7..D0] == [PID $41..PID $60] See below
41,4,Monitor status this drive cycle,,,,Bit encoded. See below
42,2,Control module voltage,0,65.535,V,{\displaystyle {\frac {256A+B}{1000}}}
43,2,Absolute load value,0,25700,%,{\displaystyle {\tfrac {100}{255}}(256A+B)}
44,2,Fuel–Air commanded equivalence ratio,0,< 2,ratio,{\displaystyle {\tfrac {2}{65536}}(256A+B)}
45,1,Relative throttle position,0,100,%,{\displaystyle {\tfrac {100}{255}}A}
46,1,Ambient air temperature,-40,215,°C,{\displaystyle A-40}
47,1,Absolute throttle position B,0,100,%,{\displaystyle {\frac {100}{255}}A}
48,1,Absolute throttle position C,,,,
49,1,Accelerator pedal position D,,,,
4A,1,Accelerator pedal position E,,,,
4B,1,Accelerator pedal position F,,,,
4C,1,Commanded throttle actuator,,,,
4D,2,Time run with MIL on,0,65535,minutes,{\displaystyle 256A+B}
4E,2,Time since trouble codes cleared,,,,
4F,4,"Maximum value for Fuel–Air equivalence ratio, oxygen sensor voltage, oxygen sensor current, and intake manifold absolute pressure","0, 0, 0, 0","255, 255, 255, 2550","ratio, V, mA, kPa","A, B, C, D*10"
50,4,Maximum value for air flow rate from mass air flow sensor,0,2550,g/s,"A*10, B, C, and D are reserved for future use"
51,1,Fuel Type,,,,From fuel type table see below
52,1,Ethanol fuel %,0,100,%,{\displaystyle {\tfrac {100}{255}}A}
53,2,Absolute Evap system Vapor Pressure,0,327.675,kPa,{\displaystyle {\frac {256A+B}{200}}}
54,2,Evap system vapor pressure,-32767,32768,Pa,((A*256)+B)-32767
55,2,"Short term secondary oxygen sensor trim, A: bank 1, B: bank 3",-100,99.2,%,{\displaystyle {\frac {100}{128}}A-100} and {\displaystyle {\frac {100}{128}}B-100}
56,2,"Long term secondary oxygen sensor trim, A: bank 1, B: bank 3",,,,
57,2,"Short term secondary oxygen sensor trim, A: bank 2, B: bank 4",,,,
58,2,"Long term secondary oxygen sensor trim, A: bank 2, B: bank 4",,,,
59,2,Fuel rail absolute pressure,0,655350,kPa,{\displaystyle 10(256A+B)}
5A,1,Relative accelerator pedal position,0,100,%,{\displaystyle {\tfrac {100}{255}}A}
5B,1,Hybrid battery pack remaining life,0,100,%,{\displaystyle {\tfrac {100}{255}}A}
5C,1,Engine oil temperature,-40,210,°C,{\displaystyle A-40}
5D,2,Fuel injection timing,-210,301.992,°,{\displaystyle {\frac {256A+B}{128}}-210}
5E,2,Engine fuel rate,0,3212.75,L/h,{\displaystyle {\frac {256A+B}{20}}}
5F,1,Emission requirements to which vehicle is designed,,,,Bit Encoded
60,4,PIDs supported [61 - 80],,,,Bit encoded [A7..D0] == [PID $61..PID $80] See below
61,1,Driver's demand engine - percent torque,-125,130,%,A-125
62,1,Actual engine - percent torque,-125,130,%,A-125
63,2,Engine reference torque,0,65535,Nm,{\displaystyle 256A+B}
64,5,Engine percent torque data,-125,130,%,A-125 Idle and B-125 Engine point 1 andC-125 Engine point 2 and D-125 Engine point 3 and E-125 Engine point 4
65,2,Auxiliary input / output supported,,,,Bit Encoded
66,5,Mass air flow sensor,,,,
67,3,Engine coolant temperature,,,,
68,7,Intake air temperature sensor,,,,
69,7,Commanded EGR and EGR Error,,,,
6A,5,Commanded Diesel intake air flow control and relative intake air flow position,,,,
6B,5,Exhaust gas recirculation temperature,,,,
6C,5,Commanded throttle actuator control and relative throttle position,,,,
6D,6,Fuel pressure control system,,,,
6E,5,Injection pressure control system,,,,
6F,3,Turbocharger compressor inlet pressure,,,,
70,9,Boost pressure control,,,,
71,5,Variable Geometry turbo (VGT) control,,,,
72,5,Wastegate control,,,,
73,5,Exhaust pressure,,,,
74,5,Turbocharger RPM,,,,
75,7,Turbocharger temperature,,,,
76,7,Turbocharger temperature,,,,
77,5,Charge air cooler temperature (CACT),,,,
78,9,Exhaust Gas temperature (EGT) Bank 1,,,,Special PID. See below
79,9,Exhaust Gas temperature (EGT) Bank 2,,,,Special PID. See below
7A,7,Diesel particulate filter (DPF),,,,
7B,7,Diesel particulate filter (DPF),,,,
7C,9,Diesel Particulate filter (DPF) temperature,,,,
7D,1,NOx NTE (Not-To-Exceed) control area status,,,,
7E,1,PM NTE (Not-To-Exceed) control area status,,,,
7F,13,Engine run time,,,,
80,4,PIDs supported [81 - A0],,,,Bit encoded [A7..D0] == [PID $81..PID $A0] See below
81,21,Engine run time for Auxiliary Emissions Control Device(AECD),,,,
82,21,Engine run time for Auxiliary Emissions Control Device(AECD),,,,
83,5,NOx sensor,,,,
84,1,Manifold surface temperature,,,,
85,10,NOx reagent system,,,,
86,5,Particulate matter (PM) sensor,,,,
87,5,Intake manifold absolute pressure,,,,
88,13,SCR Induce System,,,,
89,41,Run Time for AECD #11-#15,,,,
8A,41,Run Time for AECD #16-#20,,,,
8B,7,Diesel Aftertreatment,,,,
8C,16,O2 Sensor (Wide Range),,,,
8D,1,Throttle Position G,0,100,%,
8E,1,Engine Friction - Percent Torque,-125,130,%,{\displaystyle A-125}
8F,5,PM Sensor Bank 1 & 2,,,,
90,3,WWH-OBD Vehicle OBD System Information,,,hours,
91,5,WWH-OBD Vehicle OBD System Information,,,hours,
92,2,Fuel System Control,,,,
93,3,WWH-OBD Vehicle OBD Counters support,,,hours,
94,12,NOx Warning And Inducement System,,,,
98,9,Exhaust Gas Temperature Sensor,,,,
99,9,Exhaust Gas Temperature Sensor,,,,
9A,6,"Hybrid/EV Vehicle System Data, Battery, Voltage",,,,
9B,4,Diesel Exhaust Fluid Sensor Data,,,,
9C,17,O2 Sensor Data,,,,
9D,4,Engine Fuel Rate,,,g/s,
9E,2,Engine Exhaust Flow Rate,,,kg/h,
9F,9,Fuel System Percentage Use,,,,
A0,4,PIDs supported [A1 - C0],,,,Bit encoded [A7..D0] == [PID $A1..PID $C0] See below
A1,9,NOx Sensor Corrected Data,,,ppm,
A2,2,Cylinder Fuel Rate,,,mg/stroke,
A3,9,Evap System Vapor Pressure,,,Pa,
A4,4,Transmission Actual Gear,,,,
A5,4,Diesel Exhaust Fluid Dosing,,,,
A6,4,Odometer,,,hm,
C0,4,PIDs supported [C1 - E0],,,,Bit encoded [A7..D0] == [PID $C1..PID $E0] See below
C3,?,?,?,?,?,"Returns numerous data, including Drive Condition ID and Engine Speed*"
C4,?,?,?,?,?,B5 is Engine Idle Request    B6 is Engine Stop Request*
